,Macro F1-Score,Micro F1-Score,Accuracy,AUC
FNN,0.8935,0.9570,0.9570,0.9964
CNN,0.8157,0.9340,0.9341,0.9952
LSTM,0.3250,0.4589,0.4589,0.9278
GRU,0.7321,0.8956,0.8956,0.9919
AE,0.6161,0.8987,0.8987,0.9886
