,Macro F1-Score,Micro F1-Score,Accuracy,AUC
FNN,0.8044,0.9413,0.9413,0.9939
CNN,0.7688,0.9156,0.9156,0.9782
LSTM,0.3449,0.5553,0.5553,0.9775
GRU,0.6965,0.8872,0.8872,0.9871
AE,0.5429,0.8956,0.8956,0.9802
