,Macro F1-Score,Micro F1-Score,Accuracy,AUC
FNN,0.5464,0.9942,0.9942,xxx
CNN,0.4920,0.9889,0.9885,xxx
LSTM,0.4138,0.9858,0.9858,xxx
GRU,0.5054,0.9942,0.9942,xxx
AE,0.4929,0.9931,0.9931,xxx
