,Macro F1-Score,Micro F1-Score,Accuracy,AUC
FNN,0.5574,0.9939,0.9939,xxx
CNN,0.4630,0.9923,0.9919,xxx
LSTM,0.5612,0.9923,0.9923,xxx
GRU,0.4927,0.9931,0.9931,xxx
AE,0.4927,0.9939,0.9939,xxx
