,Macro F1-Score,Micro F1-Score,Accuracy,AUC
FNN,0.3279,0.9927,0.9927,xxx
CNN,0.4412,0.9951,0.9951,xxx
LSTM,0.3272,0.9919,0.9919,xxx
GRU,0.3259,0.9908,0.9908,xxx
AE,0.3279,0.9931,0.9931,xxx
